week,anno,treat,weight,sul,smi 
16,51,0,3.09,31.1,22.5
16,52,0,7.6,40.3,24.3
16,53,0,3.81,33.4,23.8
16,54,0,4.94,36.3,21
16,55,0,6.42,38.8,23.8
16,56,0,5.58,38,24.3
16,57,0,4.39,35.1,28.7
16,58,0,9.98,43.4,23
16,59,0,12.04,48.2,21.4
16,60,0,5.54,38.1,22.8
16,61,0,4.56,36.4,25.9
16,62,0,7.8,42.9,18.5
16,63,0,7.67,42.2,19.1
16,64,0,3.88,33.5,22.8
16,65,0,6.35,39.5,30.2
16,66,0,8.1,42.4,28.1
16,67,0,6.14,38.9,30
16,68,0,7.9,42.1,20.6
16,69,0,6.88,39.2,18.6
16,70,0,8.43,42,23.7
16,71,0,3.94,32.6,23.2
16,72,0,7.39,na,20.3
16,73,0,7.39,na,15.9
16,74,0,7.39,na,16.5
16,1,1,9.74,43.5,12.3
16,2,1,5.42,36.2,14.9
16,3,1,5.92,37.8,12.1
16,4,1,4.51,35.1,11.9
16,5,1,5.21,37.8,14.8
16,6,1,4.62,35.2,12.3
16,7,1,3.83,33.4,13.6
16,8,1,4.62,34.3,11.1
16,9,1,3.52,33.1,9.8
16,10,1,5.76,37.4,11
16,11,1,4.17,35.3,13.1
16,12,1,4.46,35.4,9.8
16,13,1,4.07,34,13.3
16,14,1,3.37,32.3,11.3
16,15,1,3.99,35.3,12.1
16,16,1,4.65,36.1,10.1
16,17,1,4.31,35.2,10.4
16,18,1,4.37,35.2,10.4
16,19,1,4.53,35.9,26.1
16,20,1,5.12,37.8,13.1
16,21,1,5.32,37.8,15.3
16,22,1,4.45,34.8,14.2
16,23,1,5.12,37.2,14
16,24,1,4.1,34.4,12.4
16,25,1,4.66,35.4,14.1
16,26,1,2.83,31.4,17.6
16,27,1,4.55,36.2,14.1
16,28,1,4.73,34.9,14.8
16,29,1,4.32,35.1,15.4
16,30,1,4.05,34.6,14.3
16,31,1,4.54,37.2,11.9
16,32,1,4.25,35.9,11.3
16,33,1,3.97,34.2,12.3
16,34,1,3.19,32.5,20
16,35,1,5.6,37.5,17.5
16,36,1,4.35,34.7,18.6
16,37,1,4.95,35.6,17
16,38,1,3.68,33.2,16.2
16,39,1,3.77,33.6,14
16,40,1,3.87,34.8,15.1
16,41,1,2.92,31.5,17.5
16,42,1,4.82,36.7,13.5
16,43,1,3.28,32.5,14.7
16,44,1,3.82,33.8,13.9
16,45,1,3.66,33.6,13.9
16,46,1,6.1,38.4,11.1
16,47,1,2.92,31.3,12.1
16,48,1,4.53,36,11.8
16,49,1,3.91,33.3,19.6
16,50,1,4.12,35.1,15.8
16,51,1,4.21,34.6,15
16,52,1,5.14,36.6,15.3
16,53,1,4.97,38.3,18.8
16,54,1,4.84,35.6,20.3
16,55,1,3.57,32.8,18.6
16,56,1,4.4,35.5,16
16,57,1,3.87,32.6,15.6
16,58,1,5.53,38.7,14.5
16,59,1,4.05,34.9,14.1
16,60,1,4.04,35.2,18
16,61,1,5.86,41.2,11.7
16,62,1,4.2,35.6,11.1
16,63,1,4.86,37.3,17.9
16,64,1,3.64,34.1,15.7
16,65,1,3.06,32.6,17.4
16,66,1,3.68,34.7,12.3
16,67,1,4.61,36.6,27.7
16,68,1,2.92,31,15.7
16,69,1,4.91,38.3,19.3
16,70,1,3.68,34,13.8
16,71,1,3.83,33,15.4
16,72,1,3.24,33.2,16.7
16,73,1,3.05,30.4,17
16,74,1,3.35,33.5,15.3
20,1,0,9.37,44.2,17
20,2,0,8.59,44.1,15.2
20,3,0,7.29,41.3,18.5
20,4,0,8.96,44,10.4
20,5,0,6.91,41.9,24.3
20,6,0,8.85,43.7,26.9
20,7,0,11.47,47.8,30.9
20,8,0,8,42.9,22.3
20,9,0,8.72,44.4,23.4
20,10,0,6.69,42,25.3
20,11,0,10.64,45.8,26.5
20,12,0,10.71,46.2,26.3
20,13,0,8.06,43,19.4
20,14,0,10.3,45.7,27.7
20,15,0,8.7,43.3,23
20,16,0,8.24,43.8,25.2
20,17,0,8.62,43.5,25.2
20,18,0,12.77,45.5,23.9
20,19,0,5.88,38,20.8
20,20,0,5.7,36.6,9.1
20,21,0,5.09,34.6,33.1
20,22,0,3.14,30.3,23.8
20,23,0,9.28,42.3,19.3
20,24,0,14.42,49.5,22.8
20,25,0,11.59,45.4,23.6
20,26,0,7.57,41,19.1
20,27,0,9.63,44.7,30.7
20,28,0,6.32,37.4,28.1
20,29,0,6.03,37.5,25.1
20,30,0,5.86,38.5,17.2
20,1,1,11.83,47.1,14.8
20,2,1,4.57,36.3,12.1
20,3,1,5.81,39.6,14.8
20,4,1,5.3,38.8,13.4
20,5,1,4.91,36.6,17.4
20,6,1,4.19,35.2,19.2
20,7,1,5.18,38.2,23.4
20,8,1,7.02,41.5,22.8
20,9,1,4.96,36.7,17.1
20,10,1,5.49,38.6,18.2
20,11,1,5.84,39.5,19
20,12,1,5.07,36.8,16
20,13,1,4.15,36.2,16.6
20,14,1,3.67,33.9,20.8
20,15,1,4.15,35.2,12.6
20,16,1,8.02,41.8,15.1
20,17,1,6.8,40.5,16.9
20,18,1,7.36,41.2,11.4
20,19,1,6.3,38.5,21.3
20,20,1,6.11,39.3,19.2
20,21,1,4.85,36.1,18.9
20,22,1,5.32,36.6,15.2
20,23,1,6.74,40.1,12.5
20,24,1,4.7,36.2,17
20,25,1,5.22,36.9,14
